REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2023/07/01 00:05:00,4978.25,95.72,TRADE
VIC1,2023/07/01 00:10:00,4908.37,95.72,TRADE
VIC1,2023/07/01 00:15:00,4878.19,95.72,TRADE
VIC1,2023/07/01 00:20:00,4835.46,82.91,TRADE
VIC1,2023/07/01 00:25:00,4825.46,77.62,TRADE
VIC1,2023/07/01 00:30:00,4799.49,79.72,TRADE
VIC1,2023/07/01 00:35:00,4783.77,79.72,TRADE
VIC1,2023/07/01 00:40:00,4751.2,76.36,TRADE
VIC1,2023/07/01 00:45:00,4681.68,63.90,TRADE
VIC1,2023/07/01 00:50:00,4678.61,57.12,TRADE
VIC1,2023/07/01 00:55:00,4659.24,72.86,TRADE
VIC1,2023/07/01 01:00:00,4681.65,75.09,TRADE
VIC1,2023/07/01 01:05:00,4629.38,75.29,TRADE
VIC1,2023/07/01 01:10:00,4586.24,59.41,TRADE
VIC1,2023/07/01 01:15:00,4601.61,63.90,TRADE
VIC1,2023/07/01 01:20:00,4585.12,74.01,TRADE
VIC1,2023/07/01 01:25:00,4546.32,74.21,TRADE
VIC1,2023/07/01 01:30:00,4542.29,58.52,TRADE
VIC1,2023/07/01 01:35:00,4414.21,11.32,TRADE
VIC1,2023/07/01 01:40:00,4382.49,25.51,TRADE
VIC1,2023/07/01 01:45:00,4414.46,33.36,TRADE
VIC1,2023/07/01 01:50:00,4396.88,74.51,TRADE
VIC1,2023/07/01 01:55:00,4348.01,19.12,TRADE
VIC1,2023/07/01 02:00:00,4312.8,19.12,TRADE
VIC1,2023/07/01 02:05:00,4279.65,19.12,TRADE
VIC1,2023/07/01 02:10:00,4258.6,19.12,TRADE
VIC1,2023/07/01 02:15:00,4247.99,19.12,TRADE
VIC1,2023/07/01 02:20:00,4227.18,22.43,TRADE
VIC1,2023/07/01 02:25:00,4156.86,9,TRADE
VIC1,2023/07/01 02:30:00,4153.84,19.12,TRADE
VIC1,2023/07/01 02:35:00,4146.84,19.12,TRADE
VIC1,2023/07/01 02:40:00,4184.02,58.79,TRADE
VIC1,2023/07/01 02:45:00,4159.17,19.12,TRADE
VIC1,2023/07/01 02:50:00,4117.64,19.12,TRADE
VIC1,2023/07/01 02:55:00,4113.27,19.89,TRADE
VIC1,2023/07/01 03:00:00,4105.21,75.15,TRADE
VIC1,2023/07/01 03:05:00,4024.56,9,TRADE
VIC1,2023/07/01 03:10:00,4040.89,19.12,TRADE
VIC1,2023/07/01 03:15:00,4045.45,19.12,TRADE
VIC1,2023/07/01 03:20:00,4131.09,95.72,TRADE
VIC1,2023/07/01 03:25:00,4114.41,73.77,TRADE
VIC1,2023/07/01 03:30:00,4096.17,74.98,TRADE
VIC1,2023/07/01 03:35:00,4105.04,74.52,TRADE
VIC1,2023/07/01 03:40:00,4125.74,74.99,TRADE
VIC1,2023/07/01 03:45:00,4123.91,83.17,TRADE
VIC1,2023/07/01 03:50:00,4106.89,74.48,TRADE
VIC1,2023/07/01 03:55:00,4013.55,19.12,TRADE
VIC1,2023/07/01 04:00:00,3973.27,19.12,TRADE
VIC1,2023/07/01 04:05:00,4056.41,50.08,TRADE
VIC1,2023/07/01 04:10:00,4085.84,73.86,TRADE
VIC1,2023/07/01 04:15:00,4085.85,97.01,TRADE
VIC1,2023/07/01 04:20:00,4084.3,8.94,TRADE
VIC1,2023/07/01 04:25:00,4051.42,9,TRADE
VIC1,2023/07/01 04:30:00,4077.53,31.66,TRADE
VIC1,2023/07/01 04:35:00,4093.33,74.57,TRADE
VIC1,2023/07/01 04:40:00,4003.21,73.33,TRADE
VIC1,2023/07/01 04:45:00,3976.68,74.38,TRADE
VIC1,2023/07/01 04:50:00,4003.41,85,TRADE
VIC1,2023/07/01 04:55:00,4040.7,76.80,TRADE
VIC1,2023/07/01 05:00:00,4031.24,79.67,TRADE
VIC1,2023/07/01 05:05:00,4058.95,74.31,TRADE
VIC1,2023/07/01 05:10:00,4143.48,79.72,TRADE
VIC1,2023/07/01 05:15:00,4137.41,97.01,TRADE
VIC1,2023/07/01 05:20:00,4158.98,97.01,TRADE
VIC1,2023/07/01 05:25:00,4150.19,97.01,TRADE
VIC1,2023/07/01 05:30:00,4160.71,97.01,TRADE
VIC1,2023/07/01 05:35:00,4190.23,79.72,TRADE
VIC1,2023/07/01 05:40:00,4249.71,79.72,TRADE
VIC1,2023/07/01 05:45:00,4186.52,79.72,TRADE
VIC1,2023/07/01 05:50:00,4220.67,76.65,TRADE
VIC1,2023/07/01 05:55:00,4242.52,97.01,TRADE
VIC1,2023/07/01 06:00:00,4311.55,97.01,TRADE
VIC1,2023/07/01 06:05:00,4289.22,97.01,TRADE
VIC1,2023/07/01 06:10:00,4464.39,100.08,TRADE
VIC1,2023/07/01 06:15:00,4441.83,97.01,TRADE
VIC1,2023/07/01 06:20:00,4481.14,107.67,TRADE
VIC1,2023/07/01 06:25:00,4480.72,97.01,TRADE
VIC1,2023/07/01 06:30:00,4551.24,92.40,TRADE
VIC1,2023/07/01 06:35:00,4590.51,79.72,TRADE
VIC1,2023/07/01 06:40:00,4639,145.79,TRADE
VIC1,2023/07/01 06:45:00,4589.62,133.78,TRADE
VIC1,2023/07/01 06:50:00,4597.28,87.94,TRADE
VIC1,2023/07/01 06:55:00,4646.3,117.59,TRADE
VIC1,2023/07/01 07:00:00,4688.37,140.01,TRADE
VIC1,2023/07/01 07:05:00,4721.98,147.51,TRADE
VIC1,2023/07/01 07:10:00,4728.94,115.66,TRADE
VIC1,2023/07/01 07:15:00,4777.26,140.01,TRADE
VIC1,2023/07/01 07:20:00,4884.89,179.75,TRADE
VIC1,2023/07/01 07:25:00,4934.2,180.01,TRADE
VIC1,2023/07/01 07:30:00,5019.82,180.01,TRADE
VIC1,2023/07/01 07:35:00,4990.95,132.72,TRADE
VIC1,2023/07/01 07:40:00,4991.06,140.01,TRADE
VIC1,2023/07/01 07:45:00,5066.19,156.88,TRADE
VIC1,2023/07/01 07:50:00,5155.97,209.57,TRADE
VIC1,2023/07/01 07:55:00,5206.15,180.01,TRADE
VIC1,2023/07/01 08:00:00,5197.27,171,TRADE
VIC1,2023/07/01 08:05:00,5305.12,180.01,TRADE
VIC1,2023/07/01 08:10:00,5362.16,180.01,TRADE
VIC1,2023/07/01 08:15:00,5419.15,168.54,TRADE
VIC1,2023/07/01 08:20:00,5349.17,166.85,TRADE
VIC1,2023/07/01 08:25:00,5340.2,180.01,TRADE
VIC1,2023/07/01 08:30:00,5359.57,180.01,TRADE
VIC1,2023/07/01 08:35:00,5354.39,140.01,TRADE
VIC1,2023/07/01 08:40:00,5444.19,180.01,TRADE
